label,name
Condition,plantar hyperhidrosis
Condition,benign enlargement of prostate
Condition,unequal pupil
Condition,adrenocortical carcinoma acc
Condition,radial head fracture
Condition,urethral trauma
Condition,congenital spine deformity
Condition,subarachnoid bleed
Condition,carpenter syndrome
Condition,congenital amastia
Condition,paroxysmal vt
Condition,clotting factor
Condition,bladder hemorrhage
Condition,st elevation myocardial infarction
Condition,poor social skill
Condition,rad51c gene
Condition,kidney failure
Condition,breathing conditions
Condition,fracture of the hand
Condition,posterior subcapsular polar cataract
Condition,lead malfunction
Condition,chronic obstructive pulmonary disease
Condition,drug allergy
Condition,depressive disorder due to another medical condition
Condition,myocarditis
Condition,sternal clavicular joint dislocation
Condition,maternal cardiac disease
Condition,abetalipoproteinemia
Condition,nonmuscle invasive bladder cancer
Condition,cloverleaf skull
Condition,high bmi in child
Condition,pediatric acuteonset neuropsychiatric syndrome
Condition,rash
Condition,choroidal sclerosis
Condition,immunodeficiencyassociated cns lymphoma
Condition,premature nec
Condition,congenital pulmonary valve abnormality
Condition,petit mal status epilepticus
Condition,chronic inflammatory demyelinating polyradiculoneuropathy
Condition,benign carcinoid tumor of the small intestine
Condition,rheumatic mitral stenosis with regurgitation
Condition,fracture of the scaphoid bone
Condition,gall bladder tumor
Condition,accessory nerve disease
Condition,sino nasal papilloma
Condition,bad breath
Condition,cricopharyngeal constriction
Condition,neuronal glial tumor
Condition,henoch shonlein purpura
Condition,splenic injury
Condition,familial intestinal gastric cancer
Condition,radiation necrosis
Condition,gastrointestinal malignancy
Condition,dural based metastasis
Condition,benign neonatal hemangiomatosis
Condition,buckle fracture
Condition,prostrate cancer
Condition,glaucoma of childhood
Condition,extrinsic allergic alveolitis
Condition,improper formula mixing
Condition,tear duct disorder
Condition,foreign body in rectum
Condition,acquired deformity of pelvis
Condition,iris atrophy
Condition,malignant neoplasm of glans penis
Condition,oral complication related to cancer
Condition,allergic arthritis involving lower leg
Condition,microsatellite stability
Condition,conns syndrome
Condition,senile entropion
Condition,monoclonal gammopathy of renal significance
Condition,pediatric multisystem inflammatory syndrome
Condition,behavior concern
Condition,mastopathy
Condition,osteochondritis dissecans ocd of the talus
Condition,injury to 7th cranial nerve
Condition,septal defect
Condition,gastrointestinal gi cancer
Condition,polycystic dysplasia
Condition,tachycardia paroxysmal
Condition,umod kidney disease
Condition,human parechovirus
Condition,mature b cell leukemia burkitt type
Condition,cancer uterus
Condition,heart rhythm disorder
Condition,injury sural nerve
Condition,conversion disorder
Condition,psycho oncology
Condition,live liver donor
Condition,retinal central vein occlusion
Condition,lymphoreticulosis
Condition,hids
Condition,locked in syndrome
Condition,cardiomegaly
Condition,trigeminal nerve palsy and paresis
Condition,acquired radialulnar synostosis
Condition,injury to the accessory nerve
Condition,pulmonary artery stenosis
Condition,hydromyelia
Condition,itchy anus
Condition,intestinal malabsorption
Condition,spinal vertebra pain
Condition,cancer of chest
Condition,acute solar dermatitis
Condition,3rd molar
Condition,chickenpox
Condition,scaphocephaly
Condition,difficulty seeing at night
Condition,small bowel disease
Condition,behavior change
Condition,trauma to the genitals
Condition,pudendal nerve entrapment
Condition,anal polyp
Condition,corneal neuropathy
Condition,shellfish allergy
Condition,complex spine deformity
Condition,bladder diverticulum
Condition,stromal corneal pigmentation
Condition,hortons
Condition,leg fx
Condition,artherosclerosis
Condition,urachal abnormality
Condition,running injury
Condition,baseball elbow
Condition,betaketothiolase deficiency
Condition,painful urinary tract
Condition,multiple antibiotic allergy
Condition,skin cancer on face
Condition,nondisplaced fracture of humerus
Condition,parsonage turner syndrome
Condition,eyelid oedema
Condition,adrenal atrophy
Condition,small bowel atresia
Condition,peyronie disease
Condition,malignant tumor of gall bladder
Condition,prostate lesion
Condition,rheumatic fever of the heart
Condition,herniation
Condition,head cancer
Condition,extraskeletal ewings sarcoma
Condition,ameloblastoma
Condition,respiratory syncytial virus
Condition,distractible
Condition,abnormal creatinine serum test
Condition,extradural abscess
Condition,urogenital neoplasm
Condition,drug combination addiction
Condition,calcium pyrophosphate dihydrate crystal deposition disease
Condition,shrinking
Specialty,Acupuncture
Condition,trap sequence
Condition,expressive language disorder
Condition,plaque in artery
Condition,total shoulder replacement joint loosening
Condition,scheuermann kyphosis
Condition,cholesterolosis of gall bladder
Condition,injury ankle
Condition,knee tendonitis
Condition,ureteric stone
Condition,anterior skull base tumor
Condition,abnormal vestibular function test
Condition,hoarding
Condition,degenerative joint disease cervical spine
Condition,hearing loss neural
Condition,peer relationship issue
Condition,sympathetic dystrophy
Condition,blood and marrow transplant
Condition,carotid artery stenosis
Condition,pigment lesion wine stain
Condition,heel fx
Condition,primary humoral immunodeficiency
Condition,hypopyon corneal ulcer
Condition,post infectious neuralgia
Condition,malignant neoplasm of left colon
Condition,stable keratoconus
Condition,meckel diverticulum
Condition,labral tear
Specialty,acute and reconstructive burn care
Condition,rhinitis
Condition,constitutional short stature
Condition,injury hypoglossal nerve
Condition,body contouring
Condition,postinfectious glomerulonephritis
Condition,ocular melanoma
Condition,transient ischemic attack
Condition,myelodysplasia
Condition,moderate nonproliferative retinopathy
Condition,submandibular tumor
Condition,stiff neck
Condition,osteomyelitis of the skull
Condition,spinal cord anomaly
Condition,oral cavity tumor
Condition,sexual dysfunction secondary to spinal cord injury
Condition,conjunctival tumor malignant
Condition,desmoid fibromatosis
Condition,subdural bleeding
Condition,cancer diaphragm
Condition,first degree burn
Condition,juvenile idiopathic arthritis jia
Condition,impingement syndrome
Condition,defect interventricular septum
Condition,female acanthosis nigricans
Condition,primary hyperaldosteronism
Condition,absent red reflex
Condition,craniocervical junction disorder
Condition,hereditary motor and sensory neuropathy
Condition,anal melanoma
Condition,atypical squamous cell of undetermined significance on a pap smear
Condition,elder abuse
Condition,sural nerve injury
Condition,familial aplastic anemia
Condition,tracheomalacia
Condition,newborn neurologic problem
Condition,childhood obesity
Condition,mliv
Condition,stiffness
Condition,breast thickening
Condition,fecal soiling
Condition,labd
Condition,neuro inflammatory disorder
Condition,facial bone fracture
Condition,anal condyloma
Condition,benign neoplasm bone
Condition,lethargic
Condition,cancer of retina
Condition,cholestasis of pregnancy
Condition,traumatic amputation of the penis
Condition,malignant nerve sheath tumor
Condition,atrial septal defect asd
Condition,excess skin face
Condition,kyphosis of the spine
Condition,retinitis
Specialty,Acute and Reconstructive Burn Care
Condition,rheumatic cardiac disease
Condition,flank hernia
Condition,metastatic disease
Condition,pulmonary av fistula
Condition,telomere syndrome
Condition,spinal hemangioma
Condition,pelvic organ descending
Condition,xeroma
Condition,mpsiv
Condition,cns sarcoma
Condition,stillborn
Condition,broken hip
Condition,morgellons syndrome
Condition,charcot fracture foot
Condition,abscess leg
Condition,obstructive sleep apnea hypopnea
Condition,complication after a coronary artery stent placement
Condition,suprarenal cancer
Condition,movement disease and disorder
Condition,schwachman diamond syndrome
Condition,insect bite and sting
Condition,salivary gland issue
Condition,uterine isthmocele
Condition,malignant neoplasm of ascending colon
Condition,oral lesion
Condition,kidney infection
Condition,secondary parkinsonism
Condition,hypoplasia of penis
Condition,atypical diabetes
Condition,substance use disorder
Condition,aortoiliac obstruction
Condition,hypertrophy of kidney
Condition,wrist tumor
Condition,avascular necrosis of scaphoid
Condition,leukoplakia
Condition,sesamoid injury in the foot
Condition,papillary craniopharyngioma
Condition,glycogenosis type 5
Condition,hip dysplasia
Condition,neuromuscular disease
Condition,mesothelioma
Condition,tooth injury
Condition,autoimmune lymphoproliferative syndrome alp
Condition,dysplasia of the hip
Condition,growth on ear
Condition,islet cell cancer
Condition,bone marrow disorder
Condition,abnormality of eye
Condition,stone tract urinary
Condition,buried penis
Condition,speech articulation dysarthria
Condition,milk allergy
Condition,chest wall lipoma
Condition,lupus panniculitis
Condition,sore back
Condition,ohss
Condition,chronic exertional compartment syndrome
Condition,arm lump
Condition,medial popliteal nerve lesion
Condition,hemophilus meningitis
Condition,complication after abortion
Condition,psychiatric conditions related to cancer diagnosis
Condition,toxoplasmosis chorioretinitis
Condition,lesion penile
Condition,symbrachydactyly
Condition,blocked fallopian tube
Condition,adenomyomatosis of gall bladder
Condition,webbed toe
Condition,levonorgestrel implant complication
Condition,drug ototoxicity
Condition,attention issue
Condition,upper tract urothelial cancer
Condition,std with pregnancy
Condition,jeune syndrome
Condition,aneurysm of leg artery
Condition,phthisical cornea
Condition,testicular varicocele
Condition,injury to accessory nerve
Condition,vaginal wall cyst
Condition,hearing loss mixed
Condition,prinzmetal angina
Condition,placenta percreta
Condition,lumbar radiculopathy
Condition,cancer oviduct
Condition,fever hay
Condition,quincey
Condition,injury toe
Condition,relapse of aml
Condition,erythema of skin
Condition,irds
Condition,trichinella infection
Condition,familial aneurysmal disease
Condition,adult t cell leukemia
Condition,allergic dermatitis of the eyelid
Condition,hypoplastic left heart
Condition,enlarged spleen
Condition,fever of unknown origin
Condition,maternal heart disease
Condition,edema diabetic macular
Condition,injury to the cornea
Condition,neck abscess
Condition,too many teeth
Condition,malignant neoplasm pancreas
Condition,cellulitis of chest
Condition,pain upper back
Condition,keratosis pilaris
Condition,stimulant use disorder
Condition,carpal tunnel
Condition,primary cancer of the liver
Condition,dark stool
Condition,gonococcal arthritis
Condition,broken scaphoid bone
Condition,cps deficiency
Condition,cranial nerve dysfunction
Condition,otis medium
Condition,toxic myelitis
Condition,hypoplastic kidney
Condition,sagging breast
Condition,loss of smell
Condition,dental pulp conditions
Condition,urinary hesitancy
Condition,fracture of the skull
Condition,ivc filter complication
Condition,spine cancer
Condition,chronic subdural
Condition,exercise asthma
Condition,hurthle
Condition,glycogenosis
Condition,pineocytoma
Condition,foreign body in the penis
Condition,cracked molar
Condition,high risk melanoma
Condition,decreased sexual desire
Condition,acute myelitis transverse
Condition,thalassemia
Condition,unicoronal synostosis
Condition,placental infection
Condition,rectal toxicity
Condition,autoimmune disease
Condition,groin pain
Condition,cerebral heterotopia
Condition,fatty tumor
Condition,methamphetamine addiction
Condition,arteriovenous graft occlusion
Condition,nipple cyst
Condition,nursemaid elbow
Condition,venous stasis discoloration
Condition,pituitary mass
Condition,congenital nystagmus
Condition,celiac sprue
Condition,prostate cancer
Condition,type 2 sugar diabetes
Condition,lump in groin
Condition,crushing injury to the external genitalia
Condition,acute leukemia
Condition,lethargy
Condition,cerebellar heterotopia
Condition,blastomycosis
Condition,pancreatic lesion
Condition,met gene
Condition,bowens disease
Condition,hypogonadism
Condition,alport disease
Condition,sensory based feeding difficulty
Condition,axillary abscess
Condition,digital medium overuse
Condition,breast abscess
Condition,wiskott aldrich syndrome
Condition,benign tumor
Condition,penile discomfort
Condition,bochdalek hernia
Condition,prostatic hyperplasia
Condition,medullary cystic disease
Condition,testicle tumor
Condition,hereditary diffuse gastric cancer syndrome
Condition,ventricular septal abnormality
Condition,polyarticular juvenile rheumatoid arthritis
Condition,injury to toe
Condition,bursitis of the elbow
Condition,rheumatic endocarditis
Condition,foot broken bone
Condition,neonatal jaundice
Condition,brachial plexus injury
Condition,high order pregnancy triplet
Condition,brain neoplasm benign
Condition,gum cyst
Condition,hypopigmented lesion on nipple
Condition,genital hsv male
Condition,niemann pick disease type c npc
Condition,fracture of the lumbar spine
Condition,enlarged ventricle
Condition,chest wall defect
Condition,degeneration corticobasal
Condition,postinfectious arthritis
Condition,ocular pemphigoid
Condition,osteomyelitis of the knee
Condition,disorder of salt balance
Condition,ischemic bowel
Condition,adult congenital cardiac disease with pregnancy
Condition,sixth nerve injury
Condition,cardiomyopathy
Condition,frequent loose stool
Condition,thinning hair
Condition,bone dysplasia
Condition,hurthle cell tumor
Condition,ruptured aaa
Condition,carcinoid of stomach
Condition,injury to twelfth cranial nerve
Condition,diaphragm tumor
Condition,ascending aneurysm
Condition,fracture of the pubic bone
Condition,cyst on liver
Condition,heroin abuse
Condition,mpsiii
Condition,atypical teratoid rhabdoid tumor in the cns
Condition,alcohol withdrawal
Condition,head and neck melanoma
Condition,tracheal stomal stenosis
Condition,benign penile neoplasm
Condition,horesback riding injury
Condition,chronic lateral ankle pain
Condition,long hauler coronavirus
Condition,syphilitic parkinsonism
Condition,chronic kidney disease ckd stage i
Condition,capgras syndrome
Condition,hip rotator cuff tear
Condition,fungus infection of the skin
Condition,artery stenosis subclavian
Condition,sore spine
Condition,reye syndrome
Condition,bladder neck contracture
Condition,skin fungus infection
Condition,her2 mutation
Condition,passing out
Condition,neurofibromatosis type ii
Condition,astroblastoma
Condition,benign skin tumor
Condition,adult degenerative scoliosis
Condition,paget disease nipple
Condition,anhidrosis
Condition,perilunate dislocation
Condition,apophysitis
Condition,fibromuscular dysplasia
Condition,windpipe disorder
Condition,cryopyrin associated periodic syndrome cap
Condition,choroidal hemangioma
Condition,low pth
Condition,penis fribrosis
Condition,tumid lupus erythematosus
Condition,mdma ecstasymolly intoxication
Condition,gas
Condition,aortic aneurysm inherited
Condition,optic nerve drusen
Condition,turcot syndrome
Condition,vein of galen malformation
Condition,live donor kidney
Condition,peripheral schwannoma
Condition,giant cell tumor of tendon sheath of hand
Condition,factor xi deficiency
Condition,nephrotic syndrome
Condition,cancer of the cervix
Condition,tooth discomfort
Condition,uri
Condition,aneurysmal bone cyst
Condition,sickle
Condition,substancemedicationinduced bipolar and related disorder
Condition,blood in toilet bowl
Condition,scaphoid nonunion advanced collapse
Condition,follicular thyroid lesion
Condition,irritability
Condition,foot mass
Condition,cancer of parathyroid gland
Condition,fibromuscular hyperplasia of renal artery
Condition,biliary fistula
Condition,giant cell glioblastoma
Condition,nephrotoxicity
Condition,para occupational exposure
Condition,mixed type liposarcoma
Condition,cancer of jejunum
Condition,sleeplessness
Condition,galeazzi fx
Condition,neuroendocrine tumor of the stomach
Condition,retinal microaneurysm
Condition,hand enlarging mass
Condition,vulvar dermatitis
Condition,rheumatic cardiac failure
Condition,hypnic jerk
Condition,cryptococcosis
Condition,low circulation in hand
Condition,pneumaturia
Condition,retinal artery occlusion
Condition,periurethral abscess
Condition,anal adenocarcinoma
Condition,trigeminal neuralgia
Condition,factor 13 deficiency
Condition,hypermature cataract
Condition,cervical deformity
Condition,difficulty obtaining formula
Condition,minor allergic reaction
Condition,male continuous leakage of urine
Condition,saddle embolus of aorta
Condition,hiv associated malignancy
Condition,dermatofibrosarcoma protuberans
Condition,chronic lumbar spine pain
Condition,secondary malignant neoplasm of urinary organ
Condition,congenital mole
Condition,tendon tear of the finger
Condition,bladder paralysis
Condition,anaplastic ganglioglioma
Condition,cranial osteomyelitis
Condition,renal hypertrophy
Condition,broken cheek bone
Condition,moorens corneal ulcer
Condition,abnormal head shape
Condition,foreign body in the eyelid
Condition,rabies
Condition,bursitis of wrist
Condition,congenital anomaly of diaphragm
Condition,allergic urticaria
Condition,torsion appendix testis
Specialty,acute care neurology
Condition,causalgia of lower limb
Condition,behcet syndrome
Condition,pharyngeal stenosis
Condition,cobbler chest
Condition,gambling disorder
Condition,acute knee pain
Condition,peripheral degeneration of retina
Condition,lip bump
Condition,post traumatic radioulnar synostosis
Condition,autoimmune skin issue
Condition,embryonal tumor
Condition,fractured sacrum
Condition,bone spur
Condition,spinal vascular malformation
Condition,bone marrow transplant allogeneic
Condition,pelvis osteomyelitis
Condition,nocturnal penile tumescence
Condition,lesion of the lateral popliteal nerve
Condition,lesion medial nerve
Condition,testis cryptorchism
Condition,progressive multifocal leucoencephalopathy
Condition,degenerative joint disease hip
Condition,tooth infection
Condition,colon mass
Condition,missing ear congenital
Condition,esophageal diverticuli
Condition,ulnar impaction syndrome
Condition,hepatic cyst
Condition,progressive multi focal leukoencephalopathy
Condition,multidrug withdrawal
Condition,cancer of the spine
Condition,mass of the parotid gland
Condition,nicotine dependency
Condition,levocardia
Condition,cervical spondylosis
Condition,intraosseous cyst
Condition,profound hearing loss
Condition,skin cancer of the outer ear
Condition,urinary incontinence in child
Condition,urinary tract obstruction
Condition,agenesis of corpus callosum
Condition,thoracic spinal djd
Condition,mono
Condition,traumatic amputation of the arm
Condition,fsh reserve
Condition,spine discomfort
Condition,excess skin of face
Condition,complete prolapse uterovaginal
Condition,fertility problem
Condition,focal choroidal excavation
Condition,obsessive compulsive
Condition,tobacco use
Condition,zygomatic fx
Condition,excess skin of the neck
Condition,breast contusion
Condition,neoplasm of brain
Condition,tumor of conjunctiva malignant
Condition,radioactive iodine induced sialadenitis
Condition,allergy to radiographic dye
Condition,tachycardia induced cardiomyopathy
Condition,morbid obesity
Condition,pancreaticobiliary disease
Condition,spondylitis ankylopoietica
Condition,overweight
Condition,abnormality of aorta
Condition,non union spinal fx
Condition,venezuelan equine encephalomyelitis
Condition,undiagnosed syndrome
Condition,impulse control disorder
Condition,petechia
Condition,cephalocele
Condition,family history of clotting
Condition,cancer of face
Condition,schizoaffective personality disorder
Condition,aneurysm of femoral artery
Condition,goblet cell carcinoma
Condition,congenital anomaly of the abdominal wall
Condition,diastasis
Condition,ulnar club hand
Condition,postpartum depression
Condition,tumor of conjunctiva
Condition,mre11a gene
Condition,lipoblastoma
Condition,chest congestion
Condition,polypoidal choroidal vasculopathy
Condition,delusional misidentification syndrome
Condition,ankle broken bone
Condition,advanced cervical cancer
Condition,glanders disease
Condition,complication related to atrial septal defect asd closure device
Condition,anti mog associated disease
Condition,fever recurrent
Condition,angelman syndrome
Condition,galnt12 gene
Condition,injury to the finger
Condition,neuroendocrine carcinoma
Condition,sufe
Condition,diffuse joint pain
Condition,sport related thoracic spinal injury
Condition,ocular hypertension
Condition,platelet quantitative disorder
Condition,narrowing of the pharynx
Condition,corneal transplant rejection
Condition,malignant neoplasm of ureter
Condition,eye socket fracture
Condition,injury to brain
Condition,injury eye oculomotor nerve
Condition,transient acantholytic dermatosis
Condition,microcephaly
Condition,wasp sting
Condition,nlcs
Condition,brain lymphoma
Condition,fluid in ear
Condition,legal blindness usa
Condition,horseshoe abscess
Condition,fever relapsing
Condition,hereditary neuropathy with pressure palsy hnpp
Condition,eclampsia
Condition,endometrial and cervical cancer
Condition,cerebrospinal syphilis
Condition,furuncle
Condition,post prandial pain syndrome
Condition,autoimmune thrombocytopenic purpura
Condition,injury wrist
Condition,chronic gi tract inflammation
Condition,encephalitis japanese b
Condition,acrodermatitis enteropathica
Condition,herpetic infection of penis
Condition,scrotal swelling
Condition,nursing bottle caries
Condition,painful anus
Condition,congenital mitral stenosis
Condition,non union fracture spine
Condition,chronic wound
Condition,uterine synechiae
Condition,painful hardware
Condition,malignant neoplasm of body of pancreas
Condition,vaccine side effect
Condition,high glucose
Condition,post stroke depression
Condition,fracture of the capitate bone
Condition,vulvar mass
Condition,hemorrhage in optic nerve sheath
Condition,clostridium perfringens
Condition,chondromyxoid fibroma
Condition,cholesteatoma
Condition,skeletal dysplasia
Condition,dermoid cyst nasal
Condition,lose weight
Condition,sore on the heel
Condition,atopic dermatitis
Condition,wrist wound
Condition,gut malrotation adult
Condition,fracture of tibia
Condition,atrial septal defect asd closure device complication
Condition,benign tumor of the epididymis
Condition,precancer of skin
Condition,complement deficiency
Condition,melanoma of hand
Condition,trimethylaminuria
Condition,swelling of lower extremity
Condition,pip joint arthritis
Condition,shoulder arthritis
Condition,secondary parkinson disease
Condition,geographic tongue
Condition,nasal obstruction
Condition,abnormal chest ct
Condition,extranodal nk t cell lymphoma
Condition,nasal cavity cancer
Condition,scn2a mutation
Condition,triangular fibrocartilage complex tfcc tear
Condition,bursitis of ankle
Condition,bmpr2 mutation
Condition,carcinosarcoma
Condition,intra abdominal tumor
Condition,bite abnormality
Condition,metastatic adrenal cancer
Condition,ventricular fibrillation paroxysm
Condition,spondyloarthritides
Condition,effusion pleural
Condition,pcp abuse
Condition,excessive weight gain in pregnancy
Condition,tumor of appendix
Condition,congenital neuropathy
Condition,pathological gambling
Condition,axial low back pain
Condition,zoster
Condition,ashermans syndrome
Condition,facial tingling
Condition,lesion of testis
Condition,sleep disorder
Condition,balance deficit
Condition,acute sportrelated back pain
Condition,injury leg
Condition,joint popping
Condition,cloacal exstrophy
Condition,abnormal sleep
Condition,nerve root tumor
Condition,superficial burn
Condition,brucella suis
Condition,diastasis of muscle
Condition,coronavirus related sore throat
Condition,biliary dilatation
Condition,sport related head injury
Condition,encephalitis mumps
Condition,eczema dyshidrotic
Condition,benign epididymal tumor
Condition,mtp deficiency
Condition,agenesis of the eyelid
Condition,pyruvate kinase deficiency pkd
Condition,genital herpes
Condition,gtube granuloma
Condition,precancers of the skin
Condition,fracture of the nose
Condition,panhypopituitarism
Condition,acute coronary syndrome
Condition,inappropriate adh
Condition,sclc
Condition,cancer endometrium
Condition,pain with peeing
Condition,postvoid residual
Condition,branch retinal artery occlusion
Condition,schizotypal disorder
Condition,petit mal epilepsy status
Condition,under bite
Condition,preaxial polydactyly big toe
Condition,child asthma
Condition,low heart rate
Condition,variceal bleeding
Condition,chromosomal aberration
Condition,submucous cleft palate
Condition,congenital anomaly with birth defect
Condition,leg artery aneurysm
Condition,bow hunter syndrome
Condition,aldosteronoma
Condition,dermatopolymyositis
Condition,full incontinence of feces
Condition,lumbar osteomyelitis
Condition,domestic minor sex trafficking
Condition,skull fracture
Condition,melioidosis
Condition,heavy metal exposure
Condition,laryngeal dystonia
Condition,post traumatic stress disorder
Condition,anemia of pregnancy
Condition,venous malformation of the spine
Condition,granuloma of conjunctiva
Condition,balance impairment
Condition,pudendal neuralgia
Condition,vascular tumor with thrombocytopenia andor hypofibrinogenemia
Condition,infection of a cardiac device
Condition,craniosynostosis
Condition,flatback syndrome
Condition,early onset dementia
Condition,lung nodule
Condition,eustachian tube patulous
Condition,central scotoma
Condition,brain malformation
Condition,hemophilia a
Condition,ankle sport injury
Condition,luq discomfort
Condition,cancer of larynx
Condition,bladder wall thickening
Condition,renal dysplasia
Condition,scapular fracture
Condition,miniform cleft lip
Condition,alopecia totalis
Condition,work related back injury
Condition,rb1 gene
Condition,arthritic knee
Condition,bug bite
Condition,metal toxicity
Condition,radial nerve neuropathy
Condition,neuroendocrine tumor of duodenum
Condition,infertility associated to cancer treatment
Condition,dendritic keratitis
Condition,benign neoplasm of colon
Condition,allergic rash
Condition,mild traumatic brain injury
Condition,blocked aortic valve
Condition,microhematuria
Condition,congenital cytomegalovirus
Condition,armpit abscess
Condition,finger webbing
Condition,secondary axillary metastasis
Condition,ankle dislocation
Condition,gj tube site
Condition,hypogonadism male
Condition,bullous dermatosis
Condition,congenital and hereditary orthopedic disorder
Condition,trochanteric bursitis
Condition,rheumatoid arthritis in the foot and ankle
Condition,human bite
Condition,urachal disorder
Condition,port wine
Condition,ulnar nerve subluxation
Condition,joint instability
Condition,knee growth plate fracture
Condition,lower back discomfort
Condition,mdma ecstasymolly abuse
Condition,metastatic cancer of the brain
Condition,cyst on eyebrow
Condition,urine leakage incontinence
Condition,pancreas divisum
Condition,eye lid burn
Condition,coordination problem
Condition,gerbode type ventricular septal defect
Condition,vision problem
Condition,painful menstruation
Condition,complication associated with knee replacement
Condition,hyperimmunoglobulin d syndrome
Condition,obstruction tract urinary
Condition,fracture of calcaneus
Condition,loud snoring
Condition,bullous disease
Condition,cns syphilis
Condition,throat tightness
Condition,leber congenital amaurosis
Condition,degenerative joint disease of the thoracic spine
Condition,loss of part of field of vision
Condition,kneecap tendon tear
Condition,gastric tumor
Condition,bone marrow transplant bmt
Condition,intestinal neuroendocrine tumor
Condition,mucopolysaccharidosis i
Condition,bladder tumor
Condition,urethral tumor
Condition,bacteroides fragilis infection
Condition,lesion in eyelid
Condition,excessive blinking
Condition,congenital obstruction of ureteropelvic junction
Condition,congenital deformity of the foot
Condition,sino rod implant complication
Condition,ovarian dermoid cyst
Condition,hemophilia
Condition,malignant colon polyp
Condition,ischemic finger
Condition,arthritis of wrist
Condition,ear wax blockage
Condition,chordoma
Condition,perforated bladder
Condition,osteochondromatosis
Condition,osteonecrosis of the wrist
Condition,fractured clavicle
Condition,stress cardiomyopathy
Condition,basal cell carcinoma of the cheek
Condition,conjunctival degeneration
Condition,familial hypertrophic cardiomyopathy
Condition,motor neuron dysfunction
Condition,vitamin d resistant rickets
Condition,gait imbalance
Condition,tubal pregnancy
Condition,lower back pain in pregnancy
Condition,acute joint inflammation
Condition,charcot marie tooth
Condition,poliomyelitis
Condition,small cell cancer of the lung
Condition,spinal muscular atrophy
Condition,tobacco addiction
Condition,atrophy optic nerve
Condition,sport related lumbar spine injury
Condition,subcutaneous calcaneal bursitis
Condition,cdkl5 disorder
Condition,vertebral pain
Condition,synkinesis
Condition,lupus
Condition,chromosomal abnormality
Condition,bow legged
Condition,seventh nerve palsy
Condition,substancemedicationinduced obsessivecompulsive and related disorder
Condition,cavity
Condition,bilateral papilledema
Condition,patellar fracture
Condition,impairment of balance
Condition,infection renal
Condition,progressive muscular atrophy duchennearan
Condition,human bite of the hand
Condition,ampullary cancer
Condition,cyclothymic disorder
Condition,juvenile idiopathic scoliosis
Condition,bronchus associated lymphoid tissue lymphoma
Condition,abnormal hemoglobin a1c
Condition,perimedullary fistula
Condition,mitral atresia
Condition,high pulse rate
Condition,denys drash syndrome dd
Condition,malignant tumor of ampulla of vater
Condition,balance disturbance
Condition,lesion fibro osseous
Condition,substance dependence
Condition,retromolar trigone cancer
Condition,diabetic kidney change
Condition,disorder of pulmonary circulation
Condition,retinal vascular disease
Condition,hair disease
Condition,extradural haemorrhage
Condition,oviduct cancer
Condition,abnormal kidney function
Condition,pituitary gland cancer
Condition,perianal fistula
Condition,balance and vestibular disorder
Condition,injury to foot
